Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Blending Technique Ensemble (All Features),0.9987809060147916,0.9987031488732206,0.9987809060147916,0.9987195210903426,5150.213919639587,16.827420949935913,5167.041340589523
Blending Technique Ensemble (IG Top 5 Features),0.9891153738654002,0.9887562395785636,0.9891153738654002,0.9882996632896919,1330.391164302826,4.54866361618042,1334.9398279190063
Blending Technique Ensemble (IG Top 10 Features),0.9892184517308161,0.988841386316075,0.9892184517308161,0.9884130241957941,1797.7857899665833,4.22770094871521,1802.0134909152985
Blending Technique Ensemble (KBest Top 5 Features),0.9626877949860547,0.9607941979894846,0.9626877949860547,0.9615040828450402,1056.7619466781616,6.456958055496216,1063.2189047336578
Blending Technique Ensemble (KBest Top 10 Features),0.9965766255082036,0.9964404750997118,0.9965766255082036,0.9963864055127505,1305.541748046875,5.563325881958008,1311.105073928833
