Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim Blending Technique Ensemble (All Features),0.9999445445453237,0.9998890927574765,0.9999445445453237,0.9999168177347264,3929.9931015968323,6.498528718948364,3936.4916303157806
Sim Blending Technique Ensemble (IG Top 5 Features),0.9999445445453237,0.9998890952409212,0.9999445445453237,0.9999168183556392,952.8380522727966,6.4361653327941895,959.2742176055908
Sim Blending Technique Ensemble (IG Top 10 Features),0.9999445445453237,0.9998890952409212,0.9999445445453237,0.9999168183556392,1482.8150472640991,9.267792701721191,1492.0828399658203
Sim Blending Technique Ensemble (KBest Top 5 Features),0.9999406529344692,0.9998852017977959,0.9999406529344692,0.9999129263699721,1029.718478679657,6.51598596572876,1036.2344646453857
Sim Blending Technique Ensemble (KBest Top 10 Features),0.9999421122885396,0.9998866627262492,0.9999421122885396,0.9999143860988591,1997.981433391571,13.453221797943115,2011.4346551895142
