Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim Weighted Avg Voting Ensemble (All Features),1.0,1.0,1.0,1.0,5364.257586479187,13.075888633728027,5377.333475112915
Sim Weighted Avg Voting Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,3228.4981842041016,12.055170059204102,3240.5533542633057
Sim Weighted Avg Voting Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,3804.798089504242,10.059607744216919,3814.857697248459
Sim Weighted Avg Voting Ensemble (KBest Top 5 Features),0.9999810283970844,0.9999808627597885,0.9999810283970844,0.9999799297081721,1861.4173092842102,10.553829669952393,1871.9711389541626
Sim Weighted Avg Voting Ensemble (KBest Top 10 Features),0.9999975677432159,0.9999975677550483,0.9999975677432159,0.9999975677432159,4330.359919548035,12.666425943374634,4343.026345491409
