Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Weighted Avg Voting Ensemble (All Features),0.9984221157524783,0.9984272535743481,0.9984221157524783,0.9984234256790335,1885.227293729782,1362.1253914833069,3247.352685213089
Weighted Avg Voting Ensemble (IG Top 5 Features),0.9896049937261261,0.9896378774406477,0.9896049937261261,0.9887439601184221,909.7465360164642,1119.2738137245178,2029.020349740982
Weighted Avg Voting Ensemble (IG Top 10 Features),0.9896941957250438,0.9897337082203891,0.9896941957250438,0.9888478476401954,1318.0158190727234,1420.7609839439392,2738.7768030166626
Weighted Avg Voting Ensemble (KBest Top 5 Features),0.9619384981951462,0.9609240156886837,0.9619384981951462,0.9612936681587185,606.8285577297211,47.01921892166138,653.8477766513824
Weighted Avg Voting Ensemble (KBest Top 10 Features),0.9964894057759286,0.9964025572644856,0.9964894057759286,0.9964153436230268,884.2970740795135,29.119903802871704,913.4169778823853
