Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Soft Voting Ensemble (All Features),0.9984359916189767,0.998433193077954,0.9984359916189767,0.9984325693845205,1302.1667785644531,516.7570872306824,1818.9238657951355
Soft Voting Ensemble (IG Top 5 Features),0.9896030114594835,0.9896447734953637,0.9896030114594835,0.988738512792724,392.4319198131561,487.83885622024536,880.2707760334015
Soft Voting Ensemble (IG Top 10 Features),0.9897021247916142,0.9897468093051115,0.9897021247916142,0.988855455496379,597.9819085597992,736.0673091411591,1334.0492177009583
Soft Voting Ensemble (KBest Top 5 Features),0.9620970795265554,0.961090991525727,0.9620970795265554,0.9614515679331651,427.28460812568665,32.37018346786499,459.65479159355164
Soft Voting Ensemble (KBest Top 10 Features),0.9965706787082758,0.9964902229279599,0.9965706787082758,0.9964957947874262,647.8784840106964,24.93160057067871,672.8100845813751
