Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim Soft Voting Ensemble (All Features),1.0,1.0,1.0,1.0,4901.1100025177,19.58129644393921,4920.691298961639
Sim Soft Voting Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,2593.6702332496643,11.194823265075684,2604.86505651474
Sim Soft Voting Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,3731.023907184601,11.779155254364014,3742.803062438965
Sim Soft Voting Ensemble (KBest Top 5 Features),0.9999810283970844,0.9999808627597885,0.9999810283970844,0.9999799297081721,2367.9712948799133,11.898768663406372,2379.8700635433197
Sim Soft Voting Ensemble (KBest Top 10 Features),0.9999975677432159,0.9999975677550483,0.9999975677432159,0.9999975677432159,4245.898771047592,12.145540952682495,4258.044312000275
