iter	MultiClass
0	0.8643897686
1	0.7032289582
2	0.5834274211
3	0.4903522073
4	0.4159702719
5	0.3553174193
6	0.3051375556
7	0.2631649114
8	0.2277544565
9	0.197657326
10	0.1719430209
11	0.1498628682
12	0.1308382974
13	0.1143855546
14	0.1001230306
15	0.08772822944
16	0.07693200858
17	0.06751657647
18	0.05929782841
19	0.0521078535
20	0.04580991931
21	0.04029032806
22	0.03545019134
23	0.03120195787
24	0.02746987389
25	0.0241906467
26	0.02130767358
27	0.01877223724
28	0.01654109366
29	0.01457750027
30	0.01284890475
31	0.01132703573
32	0.00998643627
33	0.008805035233
34	0.007764596257
35	0.006847259763
36	0.006038757234
37	0.00532610323
38	0.004697878177
39	0.004144019605
40	0.003655439712
41	0.003224468294
42	0.002844436446
43	0.002509452871
44	0.002213881797
45	0.001953190898
46	0.001723256273
47	0.001520458417
48	0.001341550593
49	0.001183760359
50	0.001044587876
51	0.0009219549838
52	0.0008136309429
53	0.0007181959917
54	0.0006338816312
55	0.0005595027173
56	0.0004940468534
57	0.00043614796
58	0.0003852014799
59	0.0003401132014
60	0.0003005078043
61	0.0002653956074
62	0.0002345000499
63	0.0002071514633
64	0.0001831680576
65	0.0001619375919
66	0.0001432470014
67	0.0001267580155
68	0.0001120872107
69	9.914436109e-05
70	8.77002382e-05
71	7.768739255e-05
72	6.886096625e-05
73	6.102046718e-05
74	5.413811517e-05
75	4.809150497e-05
76	4.26860861e-05
77	3.786763717e-05
78	3.365803101e-05
79	3.003241387e-05
80	2.673833934e-05
81	2.384577527e-05
82	2.129412241e-05
83	1.90188635e-05
84	1.701349077e-05
85	1.522845278e-05
86	1.372226391e-05
87	1.235655977e-05
88	1.117367109e-05
89	1.006293205e-05
90	9.08531548e-06
91	8.592394192e-06
92	7.778021065e-06
93	7.056440781e-06
94	6.453736296e-06
95	6.170174791e-06
96	5.92893029e-06
97	5.445294688e-06
98	5.096012919e-06
99	4.709241478e-06
100	4.493519913e-06
101	4.178805465e-06
102	3.871503964e-06
103	3.752173029e-06
104	3.508835843e-06
105	3.411970096e-06
106	3.178569499e-06
107	3.114068107e-06
108	3.021419732e-06
109	2.803392581e-06
110	2.660772664e-06
111	2.553399267e-06
112	2.410510343e-06
113	2.290522111e-06
114	2.264144112e-06
115	2.116598546e-06
116	2.086918719e-06
117	1.982421486e-06
118	1.92365846e-06
119	1.847252564e-06
120	1.831015774e-06
121	1.721386042e-06
122	1.656733799e-06
123	1.610770228e-06
124	1.523739652e-06
125	1.501836295e-06
126	1.417732037e-06
127	1.408456573e-06
128	1.371462315e-06
129	1.351187724e-06
130	1.343370543e-06
131	1.330223451e-06
132	1.319546273e-06
133	1.282572303e-06
134	1.251065229e-06
135	1.223381212e-06
136	1.216306586e-06
137	1.160317934e-06
138	1.124548225e-06
139	1.106846762e-06
140	1.099879727e-06
141	1.087821826e-06
142	1.080177868e-06
143	1.066585383e-06
144	1.061432097e-06
145	1.054077927e-06
146	1.040310126e-06
147	1.02055181e-06
148	1.014946738e-06
149	1.010851854e-06
150	9.702078728e-07
151	9.579997242e-07
152	9.523923322e-07
153	9.151482652e-07
154	9.043847177e-07
155	8.974367246e-07
156	8.861077377e-07
157	8.793975212e-07
158	8.752914023e-07
159	8.734197996e-07
160	8.655771712e-07
161	8.628087143e-07
162	8.301009569e-07
163	8.007128377e-07
164	7.983151372e-07
165	7.920154763e-07
166	7.801142429e-07
167	7.776312482e-07
168	7.696480528e-07
169	7.648692421e-07
170	7.605866923e-07
171	7.575577405e-07
172	7.545303203e-07
173	7.436127689e-07
174	7.279396499e-07
175	7.237624286e-07
176	7.186939519e-07
177	6.939727689e-07
178	6.869639338e-07
179	6.836999647e-07
180	6.822645677e-07
181	6.786428243e-07
182	6.760036635e-07
183	6.556718451e-07
184	6.531008226e-07
185	6.509788085e-07
186	6.476786431e-07
187	6.449827745e-07
188	6.426661983e-07
189	6.405557036e-07
190	6.391946468e-07
191	6.373512535e-07
192	6.356228556e-07
193	6.339619555e-07
194	6.327388177e-07
195	6.263317745e-07
196	6.246641381e-07
197	6.229753262e-07
198	6.215279187e-07
199	6.19393242e-07
200	6.17845655e-07
201	6.160640587e-07
202	6.156051955e-07
203	6.125293248e-07
204	6.121135461e-07
205	6.092756687e-07
206	6.084380175e-07
207	6.056912389e-07
208	6.048095033e-07
209	5.993829277e-07
210	5.833021372e-07
211	5.818653188e-07
212	5.79484628e-07
213	5.754813346e-07
214	5.597971501e-07
215	5.585803907e-07
216	5.570452433e-07
217	5.5548118e-07
218	5.534559363e-07
219	5.498730764e-07
220	5.487283647e-07
221	5.318207449e-07
222	5.300976475e-07
223	5.172323153e-07
224	5.15894162e-07
225	5.150542038e-07
226	4.972215213e-07
227	4.934905887e-07
228	4.912052918e-07
229	4.895750246e-07
230	4.760605498e-07
231	4.637488797e-07
232	4.625710559e-07
233	4.612367005e-07
234	4.599838511e-07
235	4.586796368e-07
236	4.574896932e-07
237	4.562080107e-07
238	4.449330486e-07
239	4.402009295e-07
240	4.389314629e-07
241	4.287862172e-07
242	4.277967937e-07
243	4.267627616e-07
244	4.252345003e-07
245	4.228926351e-07
246	4.218304247e-07
247	4.208401985e-07
248	4.191608327e-07
249	4.18553292e-07
250	4.176855269e-07
251	4.170574677e-07
252	4.159172035e-07
253	4.148244686e-07
254	4.140557565e-07
255	4.131528579e-07
