Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Cat Boosting Ensemble (All Features),0.998933540546273,0.9989182485904745,0.998933540546273,0.9988651939312578,3934.9756343364716,0.6073014736175537,3935.582935810089
Cat Boosting Ensemble (IG Top 5 Features),0.9886396298711725,0.9883829091121787,0.9886396298711725,0.9876719087074505,865.1129250526428,0.4533076286315918,865.5662326812744
Cat Boosting Ensemble (IG Top 10 Features),0.9894087493285072,0.9893883858496687,0.9894087493285072,0.988505858672999,729.2874438762665,0.4751462936401367,729.7625901699066
Cat Boosting Ensemble (KBest Top 5 Features),0.9579700003766307,0.9559430067972076,0.9579700003766307,0.9561399819210957,685.8573935031891,0.447080135345459,686.3044736385345
Cat Boosting Ensemble (KBest Top 10 Features),0.9956806409857416,0.9955913598178514,0.9956806409857416,0.995306113117143,743.9230163097382,0.47777700424194336,744.4007933139801
