Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
XGB Boosting Ensemble (All Features),0.996085023380835,0.9960663273168274,0.996085023380835,0.9955318048861918,1303.6241445541382,1.7153074741363525,1305.3394520282745
XGB Boosting Ensemble (IG Top 5 Features),0.9871311249561423,0.986839321453314,0.9871311249561423,0.9858009698279271,1130.702558040619,1.0949862003326416,1131.7975442409515
XGB Boosting Ensemble (IG Top 10 Features),0.9878348296142707,0.9878346804202528,0.9878348296142707,0.986664213232823,1125.9531803131104,0.8409039974212646,1126.7940843105316
XGB Boosting Ensemble (KBest Top 5 Features),0.9500627387392387,0.9440174540205463,0.9500627387392387,0.9448161743585395,578.4825885295868,0.6750249862670898,579.1576135158539
XGB Boosting Ensemble (KBest Top 10 Features),0.9924891916911311,0.9916177961715881,0.9924891916911311,0.9919064339778514,468.7906858921051,0.6392035484313965,469.4298894405365
