Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Gradient Boosting Ensemble (All Features),0.9668664130686875,0.9904611077391497,0.9668664130686875,0.977287058549388,45650.36586737633,22.61673617362976,45672.98260354996
Gradient Boosting Ensemble (IG Top 5 Features),0.971762611675947,0.9866974970948296,0.971762611675947,0.9787200318560636,4143.037822961807,9.808584928512573,4152.84640789032
Gradient Boosting Ensemble (IG Top 10 Features),0.9888219984022931,0.9879583438420518,0.9888219984022931,0.9878000801915655,6510.816415309906,10.582218170166016,6521.398633480072
Gradient Boosting Ensemble (KBest Top 5 Features),0.9464688893161775,0.9469395765474735,0.9464688893161775,0.9462877227064687,3980.7618029117584,9.790921449661255,3990.5527243614197
Gradient Boosting Ensemble (KBest Top 10 Features),0.3706580927026818,0.8712871484863477,0.3706580927026818,0.5101766979679316,7158.585283279419,10.63413381576538,7169.219417095184
