Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Adaptive Boosting Ensemble (All Features),0.8420787633827777,0.8724635258403118,0.8420787633827777,0.8487212365346318,948.005811214447,5.494677782058716,953.5004889965057
Adaptive Boosting Ensemble (IG Top 5 Features),0.8913261958519089,0.8072782332481231,0.8913261958519089,0.8464587549746347,102.42698001861572,2.2511374950408936,104.67811751365662
Adaptive Boosting Ensemble (IG Top 10 Features),0.891526404782813,0.8257435480830054,0.891526404782813,0.8467053929348061,173.90481615066528,2.437988519668579,176.34280467033386
Adaptive Boosting Ensemble (KBest Top 5 Features),0.9055886043455249,0.8598250450962074,0.9055886043455249,0.8747778083097318,110.28737306594849,2.309908866882324,112.59728193283081
Adaptive Boosting Ensemble (KBest Top 10 Features),0.9026191689148875,0.8528332704487392,0.9026191689148875,0.8696322812300802,194.43048810958862,2.4789814949035645,196.9094696044922
