Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
KNeighborsClassifier (All Features),0.9915971717019543,0.9916462607700933,0.9915971717019543,0.991596666446436,1.3431401252746582,611.0454196929932,612.3885598182678
KNeighborsClassifier (IG Top 5 Features),0.9880746838780272,0.987584277890822,0.9880746838780272,0.9870303968490165,3.0839731693267822,505.9436089992523,509.0275821685791
KNeighborsClassifier (IG Top 10 Features),0.9886753106707395,0.9884951835080683,0.9886753106707395,0.9876765129394659,5.459667921066284,732.3964765071869,737.8561444282532
KNeighborsClassifier (KBest Top 5 Features),0.9522908064455382,0.9496861354322024,0.9522908064455382,0.950723474931047,2.8236255645751953,38.959882497787476,41.78350806236267
KNeighborsClassifier (KBest Top 10 Features),0.9898825110560922,0.9898364530284367,0.9898825110560922,0.9898173469822092,5.65302586555481,34.170040130615234,39.823065996170044
