Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
MLPClassifier (All Features),0.8659393069599364,0.7523179324034694,0.8659393069599364,0.8044939725075452,1147.6309053897858,0.517162561416626,1148.1480679512024
MLPClassifier (IG Top 5 Features),0.9302876467125099,0.9448716692934087,0.9302876467125099,0.9256745602652657,286.53021693229675,0.22759747505187988,286.75781440734863
MLPClassifier (IG Top 10 Features),0.8826002580911169,0.8564908902274699,0.8826002580911169,0.8476576297644627,343.17140078544617,0.2838313579559326,343.4552321434021
MLPClassifier (KBest Top 5 Features),0.8386355662245552,0.826221227993909,0.8386355662245552,0.7827720590561987,407.2989253997803,0.22917819023132324,407.5281035900116
MLPClassifier (KBest Top 10 Features),0.8670830748127254,0.8116383149596158,0.8670830748127254,0.8064549961139775,309.9818425178528,0.2940855026245117,310.2759280204773
