Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Decision Tree (All Features),0.9981168466895156,0.9981376522290754,0.9981168466895156,0.9981255829856895,164.56501030921936,0.19856977462768555,164.76358008384705
Decision Tree (IG Top 5 Features),0.9895356143936346,0.989346206754434,0.9895356143936346,0.9886819142560579,9.050984144210815,0.03666043281555176,9.087644577026367
Decision Tree (IG Top 10 Features),0.9896109405260539,0.9894799354200723,0.9896109405260539,0.9887655125599497,16.961027145385742,0.04462623596191406,17.005653381347656
Decision Tree (KBest Top 5 Features),0.962192228325401,0.9607517447546421,0.962192228325401,0.9613005138714802,9.583584547042847,0.051962852478027344,9.635547399520874
Decision Tree (KBest Top 10 Features),0.9962376579123164,0.996169574264078,0.9962376579123164,0.9961711783198194,25.046027421951294,0.0568845272064209,25.102911949157715
