Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Logistic Regression (All Features),0.8884241574871202,0.8579271544706497,0.8884241574871202,0.8708499534022773,103.29809951782227,0.1597614288330078,103.45786094665527
Logistic Regression (IG Top 5 Features),0.8713409835610627,0.8124068409429197,0.8713409835610627,0.8375374253641883,67.54000854492188,0.04495692253112793,67.584965467453
Logistic Regression (IG Top 10 Features),0.8951559350054413,0.8493131792805493,0.8951559350054413,0.8640566584127014,84.0830864906311,0.05085158348083496,84.13393807411194
Logistic Regression (KBest Top 5 Features),0.48950488926067404,0.7402033719056709,0.48950488926067404,0.5574831378957763,68.25974535942078,0.0469517707824707,68.30669713020325
Logistic Regression (KBest Top 10 Features),0.6536167446027835,0.7629230705210502,0.6536167446027835,0.6928190017281355,68.25149941444397,0.051912784576416016,68.30341219902039
