Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Random Forest (All Features),0.9983091265538493,0.9982810369549128,0.9983091265538493,0.9982898436376427,736.5735626220703,8.200979709625244,744.7745423316956
Random Forest (IG Top 5 Features),0.9895911178596277,0.9896348408903383,0.9895911178596277,0.988723652058381,280.61278796195984,3.6716434955596924,284.28443145751953
Random Forest (IG Top 10 Features),0.9896902311917585,0.9897407270794448,0.9896902311917585,0.9888421755895183,363.04671144485474,3.621105670928955,366.6678171157837
Random Forest (KBest Top 5 Features),0.9629197201832407,0.9614580233257588,0.9629197201832407,0.9619994168757967,278.4879524707794,5.044542074203491,283.5324945449829
Random Forest (KBest Top 10 Features),0.9966202353743412,0.9965445690513782,0.9966202353743412,0.9965402980899083,419.20759534835815,4.714170455932617,423.92176580429077
