Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim_Stacking Technique Ensemble (All Features),1.0,1.0,1.0,1.0,23951.52848982811,26.572349071502686,23978.100838899612
Sim_Stacking Technique Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,11928.313217639923,14.942473411560059,11943.255691051483
Sim_Stacking Technique Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,10935.125774621964,9.72452187538147,10944.850296497345
Sim_Stacking Technique Ensemble (KBest Top 5 Features),0.9999805419457276,0.9999802255009673,0.9999805419457276,0.9999794523969192,4752.170626878738,10.456628322601318,4762.62725520134
Sim_Stacking Technique Ensemble (KBest Top 10 Features),0.9999990270972864,0.9999990270991796,0.9999990270972864,0.9999990270972864,9358.057083129883,11.347313404083252,9369.404396533966
