Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Stacking Technique Ensemble (All Features),0.9987650478816508,0.9987551502421823,0.9987650478816508,0.9987579023201121,11133.667693853378,1170.5279326438904,12304.195626497269
Stacking Technique Ensemble (IG Top 5 Features),0.9894701995944283,0.9894415508507062,0.9894701995944283,0.988652419907885,3443.6924822330475,1125.445232629776,4569.1377148628235
Stacking Technique Ensemble (IG Top 10 Features),0.8870464821705026,0.9921048287710962,0.8870464821705026,0.9335649772729671,4843.955499410629,1288.3048720359802,6132.2603714466095
Stacking Technique Ensemble (KBest Top 5 Features),0.9566478285260064,0.9592687828108973,0.9566478285260064,0.9577075867343439,1694.009367465973,470.5245487689972,2164.53391623497
Stacking Technique Ensemble (KBest Top 10 Features),0.9966836679069049,0.9965768603465882,0.9966836679069049,0.9965868459569064,2714.7778613567352,465.16517090797424,3179.9430322647095
