Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim_Cat Boosting Ensemble (All Features),1.0,1.0,1.0,1.0,681.3029661178589,0.8281502723693848,682.1311163902283
Sim_Cat Boosting Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,513.0425889492035,0.7796778678894043,513.8222668170929
Sim_Cat Boosting Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,526.9579727649689,0.7563574314117432,527.7143301963806
Sim_Cat Boosting Ensemble (KBest Top 5 Features),0.999948922607535,0.9999448578359725,0.999948922607535,0.9999331282865679,549.9619181156158,0.7441060543060303,550.7060241699219
Sim_Cat Boosting Ensemble (KBest Top 10 Features),0.9999956219377887,0.9999956219761253,0.9999956219377887,0.9999956219377886,615.8956320285797,0.7687082290649414,616.6643402576447
