Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim_Gradient Boosting Ensemble (All Features),1.0,1.0,1.0,1.0,22567.714920043945,16.52870750427246,22584.243627548218
Sim_Gradient Boosting Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,6429.500354766846,10.608286142349243,6440.108640909195
Sim_Gradient Boosting Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,9667.264991283417,10.245511770248413,9677.510503053665
Sim_Gradient Boosting Ensemble (KBest Top 5 Features),0.999969353564521,0.9999690006733772,0.999969353564521,0.9999661108363722,4357.258094549179,9.28411865234375,4366.542213201523
Sim_Gradient Boosting Ensemble (KBest Top 10 Features),0.9999946490350751,0.9999946490923433,0.9999946490350751,0.9999946490350748,8690.54906463623,10.109013557434082,8700.658078193665
