Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim XGB Boosting Ensemble (All Features),1.0,1.0,1.0,1.0,172.57482481002808,0.6042609214782715,173.17908573150635
Sim XGB Boosting Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,283.7305955886841,0.9236705303192139,284.6542661190033
Sim XGB Boosting Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,290.7886230945587,0.6993513107299805,291.4879744052887
Sim XGB Boosting Ensemble (KBest Top 5 Features),0.9999299510046193,0.99987450050781,0.9999299510046193,0.9999022248149602,278.54293394088745,0.9784030914306641,279.5213370323181
Sim XGB Boosting Ensemble (KBest Top 10 Features),0.9999854064592957,0.9999854068852498,0.9999854064592957,0.9999854064592927,288.113089799881,0.9467957019805908,289.0598855018616
