Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim_Adaptive Boosting Ensemble (All Features),1.0,1.0,1.0,1.0,1366.7319650650024,6.729536533355713,1373.4615015983582
Sim_Adaptive Boosting Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,419.2052381038666,3.2528882026672363,422.4581263065338
Sim_Adaptive Boosting Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,682.0522348880768,3.9040653705596924,685.9563002586365
Sim_Adaptive Boosting Ensemble (KBest Top 5 Features),0.9988816483306935,0.998828503813233,0.9988816483306935,0.9988539787008605,220.76783204078674,3.634125232696533,224.40195727348328
Sim_Adaptive Boosting Ensemble (KBest Top 10 Features),0.9999265458451216,0.9999265566351606,0.9999265458451216,0.9999265458447253,884.3375504016876,9.57706880569458,893.9146192073822
