Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Max Voting Ensemble (All Features),0.9983527364199868,0.9983247820543054,0.9983527364199868,0.9983331016337516,1706.8492186069489,1261.3868997097015,2968.2361183166504
Max Voting Ensemble (IG Top 5 Features),0.9895931001262703,0.9896340457530726,0.9895931001262703,0.9887275065088015,1080.278118133545,1139.727888584137,2220.006006717682
Max Voting Ensemble (IG Top 10 Features),0.9896922134584012,0.989741014872799,0.9896922134584012,0.9888449526205056,1349.136863231659,1544.586369752884,2893.723232984543
Max Voting Ensemble (KBest Top 5 Features),0.9629157556499555,0.961598684949013,0.9629157556499555,0.9620748116877121,615.5576112270355,63.65192222595215,679.2095334529877
Max Voting Ensemble (KBest Top 10 Features),0.996610324041128,0.9965299148505647,0.996610324041128,0.9965266748239014,936.3053920269012,46.235188722610474,982.5405807495117
