Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Decision Tree Classifier Technique Ensemble (All Features),1.0,1.0,1.0,1.0,58.51935362815857,0.13591289520263672,58.655266523361206
Decision Tree Classifier Technique Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,16.526002883911133,0.065948486328125,16.591951370239258
Decision Tree Classifier Technique Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,29.22289490699768,0.0837702751159668,29.306665182113647
Decision Tree Classifier Technique Ensemble (KBest Top 5 Features),0.9999805419457276,0.9999802255009673,0.9999805419457276,0.9999794523969192,10.290201187133789,0.08115601539611816,10.371357202529907
Decision Tree Classifier Technique Ensemble (KBest Top 10 Features),0.9999980541945728,0.9999980542021454,0.9999980541945728,0.9999980541945728,67.02177309989929,0.1111304759979248,67.13290357589722
