Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
 MLPClassifier Technique Ensemble (All Features),0.9999790825916571,0.9999790825921305,0.9999790825916571,0.9999790825916571,7722.65003991127,7.091702938079834,7729.74174284935
 MLPClassifier Technique Ensemble (IG Top 5 Features),0.9986987426205329,0.9987019313410824,0.9986987426205329,0.9986987405403408,13460.16350698471,3.9062130451202393,13464.069720029831
 MLPClassifier Technique Ensemble (IG Top 10 Features),0.9992766468324233,0.9992775797807544,0.9992766468324233,0.9992766464944906,3109.6918687820435,4.3202831745147705,3114.0121519565582
 MLPClassifier Technique Ensemble (KBest Top 5 Features),0.9948679381856532,0.9948300149834265,0.9948679381856532,0.9948402248535505,5623.411500453949,3.537529706954956,5626.949030160904
 MLPClassifier Technique Ensemble (KBest Top 10 Features),0.9987717103240544,0.9987747204873356,0.9987717103240544,0.9987717084707308,4630.494454860687,4.3909218311309814,4634.885376691818
