Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
 Random Forest Classifier Technique Ensemble (All Features),1.0,1.0,1.0,1.0,2607.5155670642853,10.872339725494385,2618.3879067897797
 Random Forest Classifier Technique Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,1230.8744015693665,8.643691778182983,1239.5180933475494
 Random Forest Classifier Technique Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,1707.3579785823822,9.524983167648315,1716.8829617500305
 Random Forest Classifier Technique Ensemble (KBest Top 5 Features),0.9999810283970844,0.9999808627597885,0.9999810283970844,0.9999799297081721,831.5901560783386,9.099942445755005,840.6900985240936
 Random Forest Classifier Technique Ensemble (KBest Top 10 Features),0.9999990270972864,0.9999990270991796,0.9999990270972864,0.9999990270972864,3029.853752851486,13.419274806976318,3043.2730276584625
