Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Logistic Regression Technique Ensemble (All Features),0.9994936041375606,0.9994940517672576,0.9994936041375606,0.9994936040241006,48.07073140144348,0.19445300102233887,48.26518440246582
Logistic Regression Technique Ensemble (IG Top 5 Features),0.9042284297739364,0.9181018602084026,0.9042284297739364,0.9034272607947432,63.02296495437622,0.13158416748046875,63.15454912185669
Logistic Regression Technique Ensemble (IG Top 10 Features),0.9941426392126493,0.9941708333413676,0.9941426392126493,0.9941425632201216,34.8425931930542,0.10223913192749023,34.94483232498169
Logistic Regression Technique Ensemble (KBest Top 5 Features),0.9884244035133463,0.9885420949161008,0.9884244035133463,0.9883957125293252,26.639086961746216,0.09867405891418457,26.7377610206604
Logistic Regression Technique Ensemble (KBest Top 10 Features),0.9881802049322276,0.9883654138203537,0.9881802049322276,0.9881790841203646,34.830655574798584,0.16212105751037598,34.99277663230896
