Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Bagging Ensemble (All Features),0.9916982673007277,0.9917161795838356,0.9916982673007277,0.9916817236361961,25.08471703529358,9444.052116632462,9469.136833667755
Bagging Ensemble (IG Top 5 Features),0.9881956021432267,0.9879534835823156,0.9881956021432267,0.9871523507521454,40.23913359642029,5392.052630901337,5432.291764497757
Bagging Ensemble (IG Top 10 Features),0.9884751017398354,0.9882512113450824,0.9884751017398354,0.9875028157238505,68.60863208770752,7674.601500749588,7743.2101328372955
Bagging Ensemble (KBest Top 5 Features),0.9537913822939978,0.9538409433453218,0.9537913822939978,0.9536892111140093,39.50823354721069,326.8049168586731,366.3131504058838
Bagging Ensemble (KBest Top 10 Features),0.9899380145220854,0.9898857217028727,0.9899380145220854,0.9898652222951051,77.63072991371155,223.83772611618042,301.46845602989197
