Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Sim Bagging Ensemble (All Features),1.0,1.0,1.0,1.0,12820.90970826149,9.11058521270752,12830.020293474197
Sim Bagging Ensemble (IG Top 5 Features),1.0,1.0,1.0,1.0,7273.255675792694,7.930907249450684,7281.186583042145
Sim Bagging Ensemble (IG Top 10 Features),1.0,1.0,1.0,1.0,9598.889701128006,10.943218469619751,9609.832919597626
Sim Bagging Ensemble (KBest Top 5 Features),0.999948922607535,0.9999448578359725,0.999948922607535,0.9999331282865679,7134.73802447319,9.88060998916626,7144.618634462357
Sim Bagging Ensemble (KBest Top 10 Features),0.9999951354864319,0.9999951355337611,0.9999951354864319,0.9999951354864318,7777.492124080658,7.788008213043213,7785.280132293701
